
------------------------------------------------------------------------------
     Year      N   Age  Hours  Weeks  School  CgFrac    Wage  TopCode  FracTop
     1964  11832  40.7   44.9   49.6    11.1    0.13   833.8    90000    0.000
     1965  11966  40.5   45.1   49.7    11.2    0.14   827.5    99900    0.000
     1966  25708  40.4   45.5   49.7    11.3    0.14   855.1    99900    0.000
     1967  16266  40.4   45.2   49.9    11.3    0.14   884.2    99900    0.000
     1968  25301  40.4   45.0   49.8    11.5    0.15   896.1    75000    0.001
     1969  25638  40.5   45.0   49.9    11.5    0.15   921.5    75000    0.001
     1970  24503  40.5   44.8   49.9    11.7    0.15   955.3    75000    0.001
------------------------------------------------------------------------------
     1971  24084  40.3   44.6   49.7    11.8    0.16   970.7    75000    0.002
     1972  23402  40.0   44.7   49.7    11.9    0.17   960.7    75000    0.002
     1973  23076  39.4   45.0   49.7    12.0    0.17  1017.8    75000    0.004
     1974  22854  39.1   44.7   49.8    12.1    0.18  1004.6    75000    0.005
     1975  21137  39.1   44.2   49.8    12.4    0.20   988.7    75000    0.006
     1976  22077  39.0   44.4   49.5    12.4    0.21   953.7    75000    0.008
     1977  26704  38.8   44.8   49.6    12.5    0.22   976.9    75000    0.010
     1978  26632  38.5   44.8   49.6    12.5    0.22   987.8    75000    0.012
     1979  27059  38.3   44.8   49.6    12.7    0.22   983.7    75000    0.016
     1980  31380  38.4   44.4   49.8    12.7    0.23   981.6    75000    0.022
------------------------------------------------------------------------------
     1981  31228  38.2   44.3   49.7    12.8    0.24   934.0    75000    0.028
     1982  26991  38.4   44.1   49.8    12.9    0.25   940.7   112500    0.011
     1983  25991  38.5   44.2   49.7    13.1    0.28   887.4   112500    0.016
     1984  26497  38.3   44.7   49.7    13.1    0.27   901.5   112500    0.017
     1985  27639  38.3   45.0   49.8    13.1    0.27   905.3    97740    0.000
     1986  27446  38.0   44.9   49.8    13.1    0.27   913.9    99000    0.000
     1987  27250  38.2   45.1   49.8    13.1    0.27   936.3   148500    0.000
     1988  26464  37.8   44.8   49.8    13.1    0.27   903.3   155458    0.000
     1989  24742  37.8   45.0   49.9    13.1    0.27   903.6   131000    0.000
     1990  27103  37.9   44.8   49.9    13.2    0.27   896.5   199998    0.000
------------------------------------------------------------------------------
     1991  26247  38.2   44.5   49.9    13.2    0.27   857.3   180000    0.000
     1992  25546  38.5   44.7   49.8    13.1    0.27   859.4   199998    0.000
     1993  25052  38.5   44.9   49.9    13.2    0.27   853.3   193999    0.000
     1994  24373  38.4   45.1   50.0    13.2    0.28   828.5   199998    0.000
     1995  24925  38.5   45.1   50.0    13.3    0.28   822.2   299997    0.000
     1996  21932  38.8   45.1   50.1    13.3    0.28   841.7   464782    0.000
     1997  22501  39.0   45.2   50.1    13.2    0.28   831.1   454816    0.000
     1998  22903  39.1   45.1   50.1    13.2    0.28   852.5   418608    0.000
     1999  23545  39.3   45.0   50.2    13.3    0.29   891.0   492657    0.000
     2000  24329  39.5   45.1   50.2    13.3    0.29   898.2   364302    0.000
------------------------------------------------------------------------------
     2001  38630  39.7   44.7   50.3    13.3    0.29   874.0   386378    0.000
     2002  37367  40.0   44.5   50.2    13.3    0.30   893.3   432853    0.000
     2003  36664  40.1   44.4   50.2    13.4    0.31   887.5   844370    0.000
     2004  36049  40.3   44.4   50.3    13.4    0.31   906.2   494457    0.000
     2005  35809  40.5   44.4   50.3    13.3    0.30   905.4   713263    0.000
     2006  35971  40.6   44.3   50.3    13.3    0.30   875.7   607643    0.000
     2007  35971  40.6   44.5   50.3    13.4    0.31   848.3   625221    0.000
     2008  35855  41.0   44.3   50.3    13.5    0.32   866.1   739497    0.000
     2009  33728  41.5   43.8   50.3    13.6    0.34   893.6   561087    0.000
     2010  32940  41.8   43.9   50.1    13.7    0.35   896.8   714892    0.000
------------------------------------------------------------------------------
