
-----------------------------------------------------------------------------
     Year      N   Age  Hours  Weeks  School  CgFrac   Wage  TopCode  FracTop
     1964  21908  40.5   34.0   37.3    10.8    0.11  748.2    99900    0.000
     1965  21796  40.4   34.3   38.2    10.8    0.11  768.4    99900    0.000
     1966  43909  40.3   34.6   36.2    10.9    0.12  814.4    99900    0.000
     1967  27335  40.3   34.3   40.6    11.0    0.12  818.2    99900    0.000
     1968  42741  40.2   34.1   40.8    11.2    0.12  832.1    75000    0.001
     1969  43418  40.0   34.0   40.6    11.2    0.13  860.0    75000    0.001
     1970  41372  39.8   33.3   40.3    11.4    0.13  881.9    75000    0.001
-----------------------------------------------------------------------------
     1971  42368  39.6   32.0   39.3    11.4    0.14  881.6    75000    0.001
     1972  41269  39.3   32.2   38.8    11.5    0.14  865.7    75000    0.002
     1973  40426  39.2   32.6   39.1    11.6    0.14  920.6    75000    0.003
     1974  39902  39.1   32.2   39.5    11.7    0.15  924.4    75000    0.003
     1975  39177  39.0   29.7   38.8    11.8    0.16  867.3    75000    0.004
     1976  41049  39.0   30.1   37.4    11.9    0.17  868.5    75000    0.005
     1977  49456  38.9   30.9   37.5    12.0    0.17  874.7    75000    0.006
     1978  48427  38.8   31.2   37.9    12.0    0.17  872.3    75000    0.008
     1979  48214  38.8   31.8   38.4    12.1    0.18  874.4    75000    0.010
     1980  57211  38.7   30.7   38.6    12.2    0.18  857.5    75000    0.014
-----------------------------------------------------------------------------
     1981  57526  38.5   30.4   37.7    12.2    0.18  804.3    75000    0.017
     1982  51712  38.5   29.1   37.4    12.3    0.19  787.9   112500    0.007
     1983  51978  38.6   28.2   36.1    12.4    0.20  774.7   112500    0.009
     1984  51514  38.6   29.7   36.1    12.5    0.20  772.7   112500    0.010
     1985  51483  38.9   30.4   37.1    12.5    0.21  781.9    97740    0.000
     1986  50472  38.9   30.2   37.4    12.5    0.21  790.4    99977    0.000
     1987  49729  38.9   30.7   37.6    12.6    0.21  780.2   148500    0.000
     1988  49818  39.0   31.1   37.9    12.7    0.22  786.5   169000    0.000
     1989  46341  39.1   31.5   38.3    12.7    0.22  793.1   186999    0.000
     1990  50481  39.3   31.3   39.1    12.7    0.22  768.9   199998    0.000
-----------------------------------------------------------------------------
     1991  50267  39.4   30.3   38.8    12.7    0.22  752.4   180000    0.000
     1992  49906  39.6   30.0   37.9    12.7    0.22  750.9   199998    0.000
     1993  49191  39.7   30.1   37.7    12.7    0.23  731.4   193999    0.000
     1994  47177  39.4   30.3   37.5    12.8    0.23  713.4   299997    0.000
     1995  47111  39.5   31.1   38.1    12.8    0.23  721.3   299997    0.000
     1996  40950  39.7   30.9   38.3    12.8    0.23  729.4   697173    0.000
     1997  41681  39.8   31.3   38.5    12.8    0.23  740.6   454816    0.000
     1998  41760  39.9   31.6   38.8    12.9    0.24  772.5   418608    0.000
     1999  42128  40.0   31.7   39.2    12.9    0.25  786.9   492657    0.000
     2000  43095  40.1   32.0   39.1    13.0    0.25  795.6   364302    0.000
-----------------------------------------------------------------------------
     2001  67793  40.3   31.3   39.3    13.0    0.25  794.5   386378    0.000
     2002  67483  40.4   30.4   38.6    13.0    0.25  803.5   649280    0.000
     2003  67530  40.5   30.2   38.1    13.0    0.26  808.1   844370    0.000
     2004  66591  40.6   30.1   37.7    13.0    0.26  813.3   494457    0.000
     2005  65693  40.8   30.2   37.8    13.0    0.25  792.2   713263    0.000
     2006  65451  41.0   30.4   38.1    13.0    0.26  766.2   607643    0.000
     2007  65266  41.0   30.6   38.1    13.1    0.26  784.7   625221    0.000
     2008  65422  41.2   29.9   37.9    13.1    0.27  793.9   532810    0.000
     2009  66213  41.4   27.4   36.9    13.1    0.27  774.5   561087    0.000
     2010  67166  41.4   26.9   35.0    13.1    0.27  797.2   714892    0.000
-----------------------------------------------------------------------------
